auditor,auditReportPageRange,link,page_text
,52 - 52,https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0423/2020042301655.pdf,"52CORPORATE GOVERNANCE FUNCTIONSThe Nomination and Governance Committee is responsible for performing the functions of corporate governance.During the reporting period, the Nomination and Governance Committee has reviewed the Company™s corporate governance policies and practices, training and continuous professional development of Directors and senior management, the Company™s policies and practices on compliance with legal and regulatory requirements, the compliance of the Model Code and Employees Written Guidelines, and the Company™s compliance with the Corporate Governance Code and disclosure in Corporate Governance Report.SUPERVISORY COMMITTEEDuring the reporting period, the Supervisory Committee of the Company comprises three members, namely Ms. Kou Youmin (chairperson), Mr. Zhang Zhenhao and Ms. Wang Zhengyan. The Supervisory Committee is responsible for exercising supervision over the Board and its members and the senior management; and preventing them from abusing their power and authorities and jeopardizing the legal interests of the shareholders, the Company and its employees. During the year ended 31 December 2019, the Supervisory Committee held six meetings to review the financial positions and the internal control of the Company and adhered to the principle of good faith and proactively carried out various work.The terms of office of Supervisors of the Company (including staff representative supervisor) commence from the date on which the resolutions in relation to appointment/re-election are passed until the conclusion of the annual general meeting of the Company to be convened in 2021 and are subject to retirement and re-election.Pursuant to the Articles of Association, all Supervisors of the Company shall retire from office by rotation at least once every three years. The shareholder representative shall be elected at general meetings, and the employee representative shall be elected democratically by the employees of the Company. On 20 March 2018, Ms. Wang Zhengyan was elected as the employee representative Supervisor of the Company at the employee representatives™ meeting. On 3 August 2018, two shareholder representatives, Ms. Kou Youmin and Mr. Zhang Zhenhao, were elected at 2018 first extraordinary general meeting of the Company, together with Ms. Wang Zhengyan, to jointly form the fifth session of the Supervisory Committee of the Company.ACCOUNTABILITY AND AUDITDirectors™ Responsibilities for Financial StatementsThe Directors acknowledged their responsibilities for preparing the consolidated financial statements of the Company for the year ended 31 December 2019.The Board is responsible for presenting a balanced, clear and understandable assessment of annual and interim reports, inside information announcements and other disclosures required under the Hong Kong Listing Rules and other regulatory requirements.The senior management provides explanations and information to the Board for approval so as to enable the Board to make an informed assessment and to consider and approve the financial information and position of the Company.The statement of the independent auditors of the Company about their reporting responsibilities on the consolidated financial statements is set out in the Auditor™s Report on page 92.INTERNAL CONTROL AND RISK MANAGEMENTThe Board has overall responsibility for maintaining the soundness and effectiveness of the internal control system and risk management procedures of the Group, including setting up a management structure and its terms of reference to ensure efficient and effective use of the Group™s resources to assist the Group in achieving its operation objectives, safeguarding the Group™s assets against any unauthorized use or disposal and ensuring an appropriate maintenance of relevant records."
,90 - 99,https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0423/2020042301493.pdf,99
,69 - 75,https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0423/2020042301450.pdf,75Grant Thornton Hong Kong LimitedShaw Chi Kit
,108 - 119,https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0423/2020042301027.pdf,"ö²C…CÞ7!0Çö²ö²ö6Q˘§æ>˚LVö6¡~8Ð>äﬁŽm®m¸'ä(f¡~8Ð}Ä©4ö7ö9ﬂÞPÈIî)łBºuØ0VRd¨`h,u(F“m¸nq¨`? V`ž¥EÞ™´[€ö9Iî)łh,u(F“m¸J>Rd¨`)ˆ1$,&'®'2¬*ö9'Ã/ûö9Iî)łq7>A¡~™´ö7Iî)ł5‹TMm¸GŁ\c&tö99vSS0Viˆ¬8R“5‹Iî)ł7!0Ç&¥_X-Dn$¬*ö7Pý0ð+Ðdó+Ók0ö7~O,%1h[Łž¥RZﬁŽ'2.aJ>®û^¦ö9'3ª+'3ª+C…&rRb&r/'&gP‹"
,95 - 333,https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0423/2020042300821.pdf,"332PLACES OF LISTINGThe Stock Exchange of Hong Kong LimitedShanghai Stock ExchangeSTOCK NAME(CRRC)STOCK CODE1766 (Hong Kong)601766 (Shanghai)PRC INDEPENDENT AUDITORDeloitte Touche Tohmatsu Certified Public Accountants LLPCertified Public Accountants30th Floor, Bund Center222 Yan An Road EastShanghaithe PRCINTERNATIONAL INDEPENDENT AUDITORDeloitte Touche TohmatsuCertified Public Accountants35th Floor, One Pacific Place88 Queensway, AdmiraltyHong KongLEGAL ADVISERSAs to Hong Kong laws:Baker & McKenzie14th Floor, One Taikoo Place979 King™s RoadQuarry BayHong KongAs to PRC laws:Jia Yuan Law FirmF408 Ocean Plaza158 Fuxing Men Nei AvenueBeijingthe PRC"
Terms of reference of the committee are formulated in accordance with recommendations of ﬁA Guide for Effective Audit Committeeﬂ promulgated by the Hong Kong Institute of,48 - 48,https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0423/2020042300716.pdf,"48(i) Audit CommitteeThe Company has set up an audit committee since August 1999. The committee currently comprises three members, including the existing three independent non-executive Directors of the Company, namely Ms. Mao Yaping, Mr. Xiao Xiaozhou and Mr. Feng Gang, and is chaired by Ms. Mao Yaping.Members of the audit committee have a term of three years. Terms of reference of the committee are formulated in accordance with recommendations of ﬁA Guide for Effective Audit Committeeﬂ promulgated by the Hong Kong Institute of Certified Public Accountants and the requirements of the Listing Rules. Its major duties include: to report to the Board, examine quality and procedure of the Group™s interim and annual reports, review the connected transactions, monitor the financial reporting procedure, review soundness and effectiveness of risk management and internal control systems of the Company, consider the appointment of independent auditors, co-ordinate and review its efficiency and work quality, study written reports of internal audit staff and review feedback from the management to such reports.The terms of reference of the Audit Committee were revised in January 2019 to comply with the new requirement under the Listing Rules and it shall be made available for inspection on request, details of which are also published at the website of the Company (http://cdc.com.cn).During the Year, the audit committee had convened two meetings. During the meetings, the Audit Committee reviewed the annual results and its corresponding accounts for 2018, the interim results and its corresponding accounts for the six months ended 30 June 2019, discussed the Company™s works on internal control matters and other works as required under the CG Code. All resolutions passed during the meetings of the committee were duly recorded in accordance with related rules, and the records were filed upon perusal by all members of the audit committee with amendments. After each meeting, the chairman submitted reports on the significant matters discussed to the Board.(j) Strategic Development CommitteeThe strategic development committee currently comprises five members, including three independent non-executive Directors, Ms. Mao Yaping, Mr. Xiao Xiaozhou and Mr. Feng Gang and two executive Directors, Mr. Wu Changlin and Mr. Hu Jiangbing. The committee is chaired by Mr. Wu Changlin.The role and main duties of the strategic development committee include studying and advising on the Company™s mid to long-term strategic development and planning; studying and advising on the material investment, financing proposal, significant use of capital and project of asset operation subject to approval of the Board pursuant to the Articles of Association; studying and advising on any other material events which have influence on the development of the Company; and checking the implementation of the above matters.The strategic development committee convened meetings and held discussion in accordance with the proposal of management of the Company and submitted discussion results for consideration of the Board and meanwhile, reported the results to the management of the Company.During the Year, the strategic development committee convened one meeting to review the three-year development plan of the Company.",False
,93 - 106,https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0423/2020042300568.pdf,"106Note20192018(Note)RMB™000RMB™000RMB™000RMB™000       Net cash generated from/(used in) investing activities 309(174)Financing activities Capital element of lease rentals paid15(c)(1,120)ŠInterest element of lease rentals paid15(c)(122)ŠRepayment of bank loan(6,000)(6,000) A loan to intermediate holding company23(c)Š(3,000)A loan repaid by intermediate holding company 23(c)Š3,000 Interest paid(1,310)(1,623) Proceeds from issue of sharesŠ128,065 Payment of listing expenses(2,857)(7,066)        Net cash (used in)/generated from  financing activities (11,409)113,376       Net increase in cash and cash equivalents 16,144130,391  Cash and cash equivalents at 1 January11 15(a)181,31142,435 Effect of foreign exchange rate changes3,8038,485       Cash and cash equivalents  at 31 December123115(a)201,258181,311       Note: The Group has initially applied HKFRS 16 at 1 January 2019 using the modified retrospective approach. Under this approach, the comparative information is not restated. See note 1(c).The notes on pages 107 to 215 form part of these financial statements.107215 201911161(c)"
,224 - 225,https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0423/2020042300466.pdf,"225 AUDITORS™ REMUNERATIONThe remuneration paid/payable to Ernst & Young and Ernst & Young Hua Ming LLP, in respect of audit services and non-audit services for the year ended December 31, 2019 and 2018, is set out below:Services CategoryFees paid and payable20192018(US$™000)(US$™000)Audit services2,1902,396Non-audit services51184Total2,2412,580The 2019 audit services conducted by Ernst & Young mainly included 2019 Hong Kong annual reporting audit services. The 2019 audit services conducted by Ernst & Young Hua Ming LLP mainly included the integrated audit of our 2019 U.S. GAAP consolidated financial statements and internal control over financial reporting, quarterly review of consolidated financial statements included in the Company™s Quarterly Reports on Form 10-Q and assurance services associated with our statutory audit of certain subsidiaries.Non-audit services mainly consist of compliance and tax advisory services.The statement of the Auditor about their reporting responsibilities for the consolidated financial statements is set out in the ﬁIndependent Auditor™s Reportﬂ contained in this annual report. From January 1, 2019 to December 31, 2019, the remuneration paid/payable to the Auditor was disclosed in Note 19 to the consolidated financial statements."
,122 - 131,https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0422/2020042201456.pdf,128PRADA spa Separate Financial Statements 2019 - Independent Auditors™ ReportSFS-14apr 2020.indd   128SFS-14apr 2020.indd   12814/04/20   15:4414/04/20   15:44
,240 - 249,https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0422/2020042201440.pdf,246PRADA Group Annual Report 2019 - Independent Auditors™ ReportsAnnual Report 2019_14apr_2020.indd   24614/04/20   16:04
,200 - 205,https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0422/2020042200769.pdf,"204VI. AUDITOR™S RESPONSIBILITIES FOR THE AUDIT OF THE FINANCIAL STATEMENTS (Continued)From the matters communicated with those charged with governance, we determine those matters that were of most significance in the audit of the financial statements of the current year and are therefore the key audit matters. We describe these matters in our independent auditor™s report unless law or regulation precludes public disclosure about the matter or when, in extremely rare circumstances, we determine that a matter should not be communicated in our report because the adverse consequences of doing so would reasonably be expected to outweigh the public interest benefits of such communication.Deloitte Touche Tohmatsu CPA LLPChinese Certified Public Accountant: Ma YanmeiShanghai China(Engagement Partner)Chinese Certified Public Accountant: Yin Lili(Engagement Partner)30 March 2020This independent auditor™s report of the financial statements and the accompanying financial statements are English translations of the independent auditor™s report and the financial statements prepared under accounting principles and practices generally accepted in the People™s Republic of China. These financial statements are not intended to present the financial position and results of operations and cash flows in accordance with accounting principles and practices generally accepted in other countries and jurisdictions. In case the English version does not conform to the Chinese version, the Chinese version prevails."
,70 - 74,https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0422/2020042200650.pdf,"SHANGHAI REALWAY CAPITAL ASSETS MANAGEMENT CO., LTD.  Annual Report 2019 73Independent auditor™s reportAUDITOR™S RESPONSIBILITIES FOR THE AUDIT OF THE CONSOLIDATED FINANCIAL STATEMENTS (continued)the circumstances, but not for the purpose of expressing an opinion on the effectiveness of the Group™s internal control.disclosures made by the directors.evidence obtained, whether a material uncertainty exists related to events or conditions that may cast significant doubt on the Group™s ability to continue as a going concern. If we conclude that a material uncertainty exists, we are required to draw attention in our auditor™s report to the related disclosures in the consolidated financial statements or, if such disclosures are inadequate, to modify our opinion. Our conclusions are based on the audit evidence obtained up to the date of our auditor™s report. However, future events or conditions may cause the Group to cease to continue as a going concern.and whether the consolidated financial statements represent the underlying transactions and events in a manner that achieves fair presentation.the Group to express an opinion on the consolidated financial statements. We are responsible for the direction, supervision and performance of the group audit. We remain solely responsible for our audit opinion.We communicate with the Audit Committee regarding, among other matters, the planned scope and timing of the audit and significant audit findings, including any significant deficiencies in internal control that we identify during our audit.We also provide the Audit Committee with a statement that we have complied with relevant ethical requirements regarding independence and to communicate with them all relationships and other matters that may reasonably be thought to bear on our independence, and where applicable, related safeguards.From the matters communicated with the Audit Committee, we determine those matters that were of most significance in the audit of the consolidated financial statements of the current period and are therefore the key audit matters. We describe these matters in our auditor™s report unless law or regulation precludes public disclosure about the matter or when, in extremely rare circumstances, we determine that a matter should not be communicated in our report because the adverse consequences of doing so would reasonably be expected to outweigh the public interest benefits of such communication.Ernst & YoungHong Kong30 March 2020"
,51 - 162,https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0422/2020042200577.pdf,"161COMPLIANCE WITH LAWS AND REGULATIONSAs the Company was established and conducts its business operations in Mainland China and is also listed on the Hong Kong Stock Exchange, our establishment and business operation have to comply with the relevant laws and regulations in both Mainland China and Hong Kong. For the year ended 31 December 2019 and up to the date of this report, the Company has complied with the relevant laws and regulations in Mainland China and Hong Kong.MATERIAL LITIGATION OR ARBITRATIONThe Group had no material litigation or arbitration for the year ended 31 December 2019.AUDITORThe financial statements of the Group have been audited by PricewaterhouseCoopers Zhong Tian LLP, who is willing to be re-appointed. A resolution will be proposed by the Board at the forthcoming annual general meeting to re-appoint PricewaterhouseCoopers Zhong Tian LLP as the auditor of the Company for a term until the conclusion of the next annual general meeting of the Company.AUDIT COMMITTEEThe Audit Committee was established with terms of reference in accordance with the CG Code contained in Appendix 14 to the Listing Rules. The Audit Committee is delegated by the Board to assess matters related to the financial statements and to provide recommendations and advices thereon, including review of the relationship with external auditors, the Company™s financial reporting, risk management and internal control system. There was no disagreement between the Audit Committee and the external auditors on the accounting policies adopted by the Company. The Audit Committee has reviewed the annual results of the Company for the year ended 31 December 2019.EXTRACT OF INDEPENDENT AUDITOR™S REPORTThe below sections set out an extract of the report by PricewaterhouseCoopers Zhong Tian LLP, the auditor of the Company, regarding the consolidated financial statements of the Group for the year ended 31 December 2019.Our OpinionIn our opinion, the accompanying financial statements present fairly, in all material respects, the consolidated and company financial position of the Company as at 31 December 2019, and their financial performance and cash flows for the year then ended in accordance with the requirements of the Accounting Standards for Business Enterprises. "
The Board will check the Company™s corporate governance and its implementation from time to time to meet the requirements of the Listing Rules and protect the interest of the Shareholders.(3) Responsibilities of Directors concerning financial statementsThe declarations of the responsibilities of Directors concerning financial statements set out hereinafter and the responsibilities of,133 - 133,https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0422/2020042200449.pdf,"Holly Futures Co., Ltd.Annual Report 2019XI Corporate Governance Report133VIII. Other related matters(1) Shareholders™ rightThe Company convened and held general meetings according to the Articles of Association and Rules of Procedure for General Meetings to guarantee the equal status and full exercise of rights for all Shareholders, especially the small and medium Shareholders. All of the Company™s Directors, Supervisors and senior management attended the general meetings and answered the Shareholders™ questions in accordance with Articles of Association.(2) Compliance with Model CodeThe Company has adopted the Model Code as set out in Appendix 10 to the Listing Rules concerning the securities transactions by Directors and Supervisors. The Company has made specific inquiries to all the Directors and Supervisors for the compliance with Model Code. All Directors and Supervisors confirmed that they completely observed the Model Code during the Reporting Period.The Company has adopted the Model Code for supervising the unpublished price-sensitive information of the Company or its securities that is likely possessed by its employees. During the Reporting Period, the Company did not find any employee™s violation of the Model Code.The Board will check the Company™s corporate governance and its implementation from time to time to meet the requirements of the Listing Rules and protect the interest of the Shareholders.(3) Responsibilities of Directors concerning financial statementsThe declarations of the responsibilities of Directors concerning financial statements set out hereinafter and the responsibilities of Certified Public Accountants in the Independent Auditor™s Report of this Report shall be read jointly but understood independently.All the Directors of the Company confirmed their responsibility of preparing the financial statements that can truly reflect the Company™s operating results for each financial year. During the Reporting Period, to the knowledge of the Directors, no event or circumstance that may cause material adverse impact on the Company™s continuous operations needs to be reported.(4) Appointment and remuneration of auditorsIn 2019, the Company appointed KPMG Huazhen LLP as its external audit firm for 2019 to provide related audit and review services based on the China Accounting Standards for Business Enterprises. The expenses related to the audit service are set out in Section VIII ﬁVIII. Engagement of accounting firmﬂ of this Report.",False
,201 - 206,https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0420/2020042001356.pdf,"204VI. AUDITOR™S RESPONSIBILITIES FOR THE AUDIT OF THE FINANCIAL STATEMENTS (Continued)We communicate with those charged with governance regarding, among other matters, the planned scope and timing of the audit and signi˜cant audit ˜ndings, including any the de˜ciencies in internal control that we identify during our audit and deserve attention.We also provide those charged with governance with a statement that we have complied with relevant ethical requirements regarding independence, and to communicate with them all relationships and other matters that may reasonably be thought to bear on our independence, and where applicable, related safeguards.From the matters communicated with those charged with governance, we determine those matters that were of most signi˜cance in the audit of the ˜nancial statements of the current year and are therefore the key audit matters. We describe these matters in our independent auditor™s report unless law or regulation precludes public disclosure about the matter or when, in extremely rare circumstances, we determine that a matter should not be communicated in our report because the adverse consequences of doing so would reasonably be expected to outweigh the public interest bene˜ts of such communication.Ernst & Young Hua Ming LLP PRC Certi˜ed public accountant  ZHANG Xiaoliang(Engagement Partner) PRC Certi˜ed public accountant  WANG MinBeijing, China 25 March 2020AUDIT REPORT (Continued)Ernst & Young Hua Ming (2020) Shen Zi No.61172338_A02China Railway Signal & Communication Corporation Limited"
,148 - 155,https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0420/2020042000523.pdf,155PricewaterhouseCoopers
,108 - 113,https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0420/2020042000389.pdf,"112 Sia Chin HoeKPMG PLTLevel 10, KPMG Tower8 First Avenue, Bandar Utama47800 Petaling JayaSelangor Darul Ehsan, MalaysiaOther MatterThis report is made solely to the shareholders of the Company, as a body, and for no other purpose. We do not assume responsibility to any other person for the content of this report.The engagement partner on the audit resulting in this independent auditors™ report is Sia Chin Hoe.KPMG PLTChartered AccountantsLevel 10, KPMG Tower8 First Avenue, Bandar Utama47800 Petaling JayaSelangor Darul Ehsan, MalaysiaDate : 27 March 2020"
,62 - 68,https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0417/2020041701115.pdf,"129Annual Report 2019DRAGON MINING LIMITEDIndependent Auditor’s Report (Cont’d)AUDITOR’S RESPONSIBILITIES FOR THE AUDIT OF THE FINANCIAL REPORT (CONT’D)• Evaluate the overall presentation, structure and content of the consolidated financial statements, including the disclosures, and whether the consolidated financial statements represent the underlying transactions and events in a manner that achieves fair presentation.• Obtain sufficient appropriate audit evidence regarding the financial information of the entities or business activities within the Group to express an opinion on the consolidated financial statements. We are responsible for the direction, supervision and performance of the Group audit. We remain solely responsible for our audit opinion.We communicate with the Audit Committee regarding, among other matters, the planned scope and timing of the audit and significant audit findings, including any significant deficiencies in internal control that we identify during our audit.We also provide the Audit Committee with a statement that we have complied with relevant ethical requirements regarding independence, and to communicate with them all relationships and other matters that may reasonably be thought to bear on our independence, and where applicable, related safeguards.From the matters communicated with the Audit Committee, we determine those matters that were of most significance in the audit of the consolidated financial statements of the current year and are therefore the key audit matters. We describe these matters in our auditor’s report unless law or regulation precludes public disclosure about the matter or when, in extremely rare circumstances, we determine that a matter should not be communicated in our report because the adverse consequences of doing so would reasonably be expected to outweigh the public interest benefits of such communication.The engagement partner on the audit resulting in this independent auditor’s report is Jemma K Newton.Ernst & YoungPerth17 April 2020• •   Jemma K Newton2020417"
,92 - 98,https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0417/2020041700938.pdf,"97FINANCIAL STATEMENTS CONSOLIDATED STATEMENT OF PROFIT OR LOSS98CONSOLIDATED STATEMENT OF  COMPREHENSIVE INCOME99CONSOLIDATED STATEMENT OF FINANCIAL POSITION100CONSOLIDATED STATEMENT OF CHANGES IN EQUITY102CONSOLIDATED STATEMENT OF CASH FLOWS1031.GENERAL INFORMATION1042.SUMMARY OF SIGNIFICANT ACCOUNTING POLICIES1043.CHANGES IN ACCOUNTING POLICIES1194.CRITICAL ACCOUNTING ESTIMATES AND JUDGEMENTS1215.SEGMENT INFORMATION1236.OTHER INCOME1277.EXPENSES1288.FINANCE INCOME AND FINANCE COSTS1299.INCOME TAX EXPENSE13010.DISPOSAL OF SUBSIDIARIES AND RESULTS OF DISCONTINUED OPERATION13111.(LOSS)/EARNINGS PER SHARE13212.DIVIDENDS13313.EMPLOYEE BENEFIT EXPENSES, INCLUDING DIRECTORS™ EMOLUMENTS13314.PROPERTY, PLANT AND EQUIPMENT13415.RIGHT-OF-USE ASSETS13916.INTANGIBLE ASSETS14017.INVESTMENT IN SUBSIDIARIES14118.PRINCIPAL SUBSIDIARIES WITH MATERIAL NON-CONTROLLING INTERESTS14319.INVENTORIES14420.DEFERRED INCOME TAX14421.TRADE AND OTHER RECEIVABLES14522.OTHER FINANCIAL ASSETS14623.CASH AND CASH EQUIVALENTS14624.SHARE CAPITAL14625.RESERVES AND RETAINED PROFITS14726.BORROWINGS14927.LEASE LIABILITIES15128.PROVISIONS15229.OTHER FINANCIAL LIABILITES15330.TRADE AND OTHER PAYABLES15331.NOTES TO CONSOLIDATED STATEMENT  OF CASH FLOWS15432.SIGNIFICANT RELATED PARTY TRANSACTIONS15533.FINANCIAL AND OTHER RISK MANAGEMENT15634.DIRECTORS™ AND SENIOR MANAGEMENT™S EMOLUMENTS16535.LONG-TERM INCENTIVE EQUITY PLANS16836.COMMITMENTS17637.CONTINGENT LIABILITIES17738.EVENTS AFTER THE END OF THE REPORTING PERIOD17839. COMPANY STATEMENT OF FINANCIAL POSITION AND RESERVES179FIVE-YEAR FINANCIAL SUMMARY181"
,108 - 117,https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0417/2020041700574.pdf,Auditor™s Responsibilities for the Audit of the Consolidated Financial Statements (continued)Deloitte Touche Tohmatsu
,147 - 153,https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0416/2020041600983.pdf,"152We also provide those charged with governance with a statement that we have complied with relevant ethical requirements regarding independence, and communicate with them all relationships and other matters that may reasonably be thought to bear on our independence, and where applicable, related safeguards.From the matters communicated with those charged with governance, we determine those matters that were of most significance in the audit of the consolidated financial statements of the current period and are therefore the key audit matters. We describe these matters in our auditors™ report unless law or regulation precludes public disclosure about the matter or when, in extremely rare circumstances, we determine that a matter should not be communicated in our report because the adverse consequences of doing so would reasonably be expected to outweigh the public interest benefits of such communication.The engagement partner on the audit resulting in this independent auditors™ report is David B. Wilson.Boston, MassachusettsMarch 18, 2020David B. Wilson2020318Auditors™ Responsibilities for the Audit of the Consolidated Financial Statements Continued"
,81 - 86,https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0416/2020041600918.pdf,86INDEPENDENT AUDITOR™S REPORTDeloitte Touche TohmatsuCertified Public AccountantsHong Kong29 March 2020
,51 - 145,https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0416/2020041600715.pdf,"144VIII. CORPORATE GOVERNANCE PRACTICES (Continued)Directors™ Responsibility in Respect of the Financial StatementsThe directors acknowledge their responsibility for preparing the ˜nancial statements of the Company for the year ended 31 December 2019.The directors are not aware of any material uncertainties relating to events or conditions that may cast signi˜cant doubt upon the Company™s ability to continue as a going concern.The statement of the independent auditors of the Company about their reporting responsibilities on the ˜nancial statements is set out in the Independent Auditors™ Report on pages 161 to 163 of this annual report.Where appropriate, a statement will be submitted by the Audit Committee explaining its recommendation regarding the selection, appointment, resignation or dismissal of external auditors and the reasons why the Board has taken a different view from that of the Audit Committee.Senior Management™s RemunerationsThe Senior Management™s remunerations are determined by the Board with reference to their duties, responsibilities and performance and the results of the Group. Remunerations paid to a total of 5 Senior Management (excluding Directors and Supervisors) by bands for the year ended 31 December 2019 is set out below:Remuneration bandsNumber of individualsRMB1 million and below1RMB 1 million to RMB 2 million2RMB2 million to RMB3 million1Over RMB 3 million1  "
,145 - 150,https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0416/2020041600417.pdf,"149AUDITOR™S RESPONSIBILITIES FOR THE AUDIT OF THE CONSOLIDATED FINANCIAL STATEMENTS (Continued)o Obtain sufficient appropriate audit evidence regarding the financial information of the entities or business activities within the Group to express an opinion on the consolidated financial statements. We are responsible for the direction, supervision and performance of the group audit. We remain solely responsible for our audit opinion.We communicate with those charged with governance regarding, among other matters, the planned scope and timing of the audit and significant audit findings, including any significant deficiencies in internal control that we identify during our audit.We also provide those charged with governance with a statement that we have complied with relevant ethical requirements regarding independence, and to communicate with them all relationships and other matters that may reasonably be thought to bear on our independence, and where applicable, related safeguards.From the matters communicated with those charged with governance, we determine those matters that were of most significance in the audit of the consolidated financial statements of the current year and are therefore the key audit matters. We describe these matters in our auditor™s report unless law or regulation precludes public disclosure about the matter or when, in extremely rare circumstances, we determine that a matter should not be communicated in our report because the adverse consequences of doing so would reasonably be expected to outweigh the public interest benefits of such communication.The engagement partner on the audit resulting in the independent auditor™s report is Mr. Man Kai Sze.Deloitte Touche TohmatsuHong Kong20 March 2020"
,117 - 122,https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0416/2020041600379.pdf,(
,124 - 132,https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0416/2020041600196.pdf,Mazars CPA LimitedChan Chi Ming Andy
,130 - 130,https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0415/2020041501297.pdf,"128During the Reporting Period, the Company™s Supervisory Committee convened five meetings of the Supervisory Committee in total. It considered 20 proposals and received reports in respect thereof. The attendance by each Supervisor at meetings is as follows:Name of SupervisorsNumber of attendance required for the SupervisorsNumber of meetings attended in person   Yan Aizhong00Peng Haiqing00Shao Bo00Cao Xiuyun55Zhang Yandi55Chu Zhiqi55   During the Reporting Period, the Supervisory Committee reviewed all previous regular reports required to be disclosed by the Company and earnestly studied final accounts and profit distribution plans of the Company for the year 2019, and supervised the internal control, a list of related parties/connected persons, as well as the utilization and change of relevant raised proceeds, and considered and approved the Work Rules for the Supervisory Committee, paid continuous attention to assets or businesses which affected the operating results of the Company, and had no objections to the disposal measures and methods of the Board and management in respect of the assets or businesses.VI. MODEL CODE FOR SECURITIES TRANSACTIONS BY DIRECTORS AND SUPERVISORSThe Company has adopted the Model Code for Securities Transactions by Directors of Listed Issuers as the codes governing the dealings in the Company™s securities by Directors and Supervisors. Having made specific enquiries with all Directors and Supervisors, all Directors and Supervisors of the Company confirmed that they themselves and their respective associates had fully complied with the required standards provided by the above code during the Reporting Period.VII. FAILURE OF THE CONTROLLING SHAREHOLDER OF THE COMPANY IN ENSURING INDEPENDENCE AND MAINTAINING THEIR CAPACITY OF INDEPENDENT OPERATION IN TERMS OF BUSINESS, PERSONNEL, ASSETS, ORGANIZATION AND FINANCE Applicable˚ Not ApplicableThe corresponding measures, working process and follow-up working plans of the Company relating to competitions within the industry Applicable˚ Not ApplicableVIII. AUDITING INSTITUTION AND ITS REMUNERATIONThe Company appointed Deloitte Touche Tohmatsu (LLP) (ﬁDeloitte Touche Tohmatsuﬂ) as its annual auditors. In addition to the annual financial audit, Deloitte Touche Tohmatsu also provided the Company with internal control audit services in relation to financial reports and provided part of its domestic subsidiaries with statutory financial audit services.For details of the remuneration of independent auditors for the year 2019, please refer to ﬁVI. Appointment and Dismissal of Accounting Firmﬂ on page 69 of this report."
,6 - 127,https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0415/2020041501285.pdf,"126The quarterly, interim and annual results of the Company are announced in a timely manner within the relevant limits of the Listing Rules after the end of the relevant reporting period.The Company has received a statement by the independent auditors of the Company about their reporting responsibilities. The statement of the independent auditors of the Company on its reporting responsibilities on the financial statements is set out in the ﬁAuditors™ Reportﬂ on pages 140 to 146 of this Annual Report.There are no material uncertainties relating to events or conditions that may cast significant doubt on the Company™s ability to continue as a going concern.4. Directors™ and Supervisors™ Securities TransactionsThe Company has adopted the Model Code set out in Appendix 10 to the Listing Rules and the Securities Dealing Code for Management () as the Company™s code of conduct and rules to govern dealings by all Directors in the securities of the Company. The Model Code is also applicable to the Supervisors, specific employees and/or senior management of the Group who may have certain inside information that has not been disclosed. The Model Code is sent four times a year, namely, no less than 30 days prior to the Board meeting to approve the Company™s interim and quarterly results and no less than 60 days prior to the Board meeting to approve the Company™s annual results, together with an indicative notice, to remind the Directors, the Supervisors and the specific employees who may have certain price sensitive information that they may not deal in the Shares until the publication of the results announcement.The Company has also adopted the System on Managing Insides and External information () and Securities Dealing Code for Management () for controlling and monitoring the relevant employees who are likely to be in possession of unpublished price-sensitive information in relation to the Group or its securities.All Directors confirmed that as at 31 December 2019, none of the Directors, the Supervisors and the specific employees who may have possession of certain inside information that had not been disclosed in accordance with the requirements of the Model Code has interests or short positions which are required to notify the Company and the Hong Kong Stock Exchange, or incur any conduct in violation of regulations. Having made specific enquiries to all Directors and all Supervisors of the Company, they have confirmed that they had complied with the required standards set out in the Model Code throughout the Reporting Period."
