auditor,auditReportPageRange,link,page_text,normal
PricewaterhouseCoopers,86 - 90,https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0424/2020042401898.pdf,"INDEPENDENT AUDITOR™S REPORTŁ Evaluate the overall presentation, structure and content of the consolidated financial statements, including the disclosures, and whether the consolidated financial statements represent the underlying transactions and events in a manner that achieves fair presentation.Ł Obtain sufficient appropriate audit evidence regarding the financial information of the entities or business activities within the Group to express an opinion on the consolidated financial statements. We are responsible for the direction, supervision and performance of the Group audit. We remain solely responsible for our audit opinion.We communicate with the Audit Committee regarding, among other matters, the planned scope and timing of the audit and significant audit findings, including any significant deficiencies in internal control that we identify during our audit.We also provide the Audit Committee with a statement that we have complied with relevant ethical requirements regarding independence, and to communicate with them all relationships and other matters that may reasonably be thought to bear on our independence, and where applicable, related safeguards.From the matters communicated with the Audit Committee, we determine those matters that were of most significance in the audit of the consolidated financial statements of the current period and are therefore the key audit matters. We describe these matters in our auditor™s report unless law or regulation precludes public disclosure about the matter or when, in extremely rare circumstances, we determine that a matter should not be communicated in our report because the adverse consequences of doing so would reasonably be expected to outweigh the public interest benefits of such communication.The engagement partner on the audit resulting in this independent auditor™s report is Ho Kwok Fai, Timothy.PricewaterhouseCoopersCertified Public AccountantsHong Kong, 10 March 2020",True
KPMG,54 - 60,https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0424/2020042401886.pdf,"60108Auditor™s responsibilities for the audit of the consolidated financial statements (continued)From the matters communicated with the Audit Committee, we determine those matters that were of most significance in the audit of the consolidated financial statements of the current period and are therefore the key audit matters. We describe these matters in our auditor™s report unless law or regulation precludes public disclosure about the matter or when, in extremely rare circumstances, we determine that a matter should not be communicated in our report because the adverse consequences of doing so would reasonably be expected to outweigh the public interest benefits of such communication.The engagement partner on the audit resulting in this independent auditor™s report is Yu Wai Sum.KPMGCertified Public Accountants8th Floor, Prince™s Building10 Chater RoadCentral, Hong Kong30 March 2020",True
PricewaterhouseCoopers,163 - 169,https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0424/2020042401831.pdf,"168We communicate with those charged with governance regarding, among other matters, the planned scope and timing of the audit and significant audit findings, including any significant deficiencies in internal control that we identify during our audit.We also provide those charged with governance with a statement that we have complied with relevant ethical requirements regarding independence, and to communicate with them all relationships and other matters that may reasonably be thought to bear on our independence, and where applicable, related safeguards.From the matters communicated with those charged with governance, we determine those matters that were of most significance in the audit of the consolidated financial statements of the current period and are therefore the key audit matters. We describe these matters in our auditor™s report unless law or regulation precludes public disclosure about the matter or when, in extremely rare circumstances, we determine that a matter should not be communicated in our report because the adverse consequences of doing so would reasonably be expected to outweigh the public interest benefits of such communication.The engagement partner on the audit resulting in this independent auditor™s report is Ng Ka Ho.PricewaterhouseCoopersCertified Public AccountantsHong Kong, 27 March 2020",True
KPMG,88 - 96,https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0424/2020042401809.pdf,"C. P. POKPHAND CO. LTD.C. P. POKPHAND CO. LTD.96PBANNUAL REPORT 2019ANNUAL REPORT 2019108Auditor™s responsibilities for the audit of the consolidated financial statements (continued)From the matters communicated with the Audit Committee, we determine those matters that were of most significance in the audit of the consolidated financial statements of the current year and are therefore the key audit matters. We describe these matters in our auditor™s report unless law or regulation precludes public disclosure about the matter or when, in extremely rare circumstances, we determine that a matter should not be communicated in our report because the adverse consequences of doing so would reasonably be expected to outweigh the public interest benefits of such communication.The engagement partner on the audit resulting in this independent auditor™s report is Yu Wai Sum.KPMGCertified Public Accountants8th Floor, Prince™s Building10 Chater RoadCentral, Hong Kong30 March 2020",True
BDO Limited,145 - 154,https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0424/2020042401797.pdf,"GLORY SUN LAND GROUP LIMITEDANNUAL REPORT 2019154INDEPENDENT AUDITOR’S REPORTP04743AUDITOR’S RESPONSIBILITIES FOR THE AUDIT OF THE CONSOLIDATED FINANCIAL STATEMENTS (CONTINUED)From the matters communicated with the directors, we determine those matters that were of most significance in the audit of the consolidated financial statements of the current period and are therefore the key audit matters. We describe these matters in our auditor’s report unless law or regulation precludes public disclosure about the matter or when, in extremely rare circumstances, we determine that a matter should not be communicated in our report because the adverse consequences of doing so would reasonably be expected to outweigh the public interest benefits of such communication.OTHER MATTERThe consolidated financial statements of the Group for the year ended 31 December 2018 were audited by another auditor who expressed an unmodified opinion on those statements on 27 March 2019.BDO LimitedCertified Public AccountantsLo Ngai HangPractising Certificate Number P04743Hong Kong, 25 March 2020",True
PricewaterhouseCoopers,102 - 106,https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0424/2020042401793.pdf,"2019 Annual Report105INDEPENDENT AUDITOR’S REPORTAUDITOR’S RESPONSIBILITIES FOR THE AUDIT OF THE CONSOLIDATED FINANCIAL STATEMENTS (CONTINUED)From the matters communicated with those charged with governance, we determine those matters that were of most significance in the audit of the consolidated financial statements of the current period and are therefore the key audit matters. We describe these matters in our auditor’s report unless law or regulation precludes public disclosure about the matter or when, in extremely rare circumstances, we determine that a matter should not be communicated in our report because the adverse consequences of doing so would reasonably be expected to outweigh the public interest benefits of such communication.The engagement partner on the audit resulting in this independent auditor’s report is Pang Ho Yin.PricewaterhouseCoopersCertified Public AccountantsHong Kong, 27 March 2020",True
Ernst & Young,62 - 66,https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0424/2020042401743.pdf,"InnoCare Pharma Limited66 Evaluate the overall presentation, structure and content of the consolidated financial statements, including the disclosures, and whether the consolidated financial statements represent the underlying transactions and events in a manner that achieves fair presentation. Obtain sufficient appropriate audit evidence regarding the financial information of the entities or business activities within the Group to express an opinion on the consolidated financial statements. We are responsible for the direction, supervision and performance of the group audit. We remain solely responsible for our audit opinion.We communicate with the Audit Committee regarding, among other matters, the planned scope and timing of the audit and significant audit findings, including any significant deficiencies in internal control that we identify during our audit.We also provide the Audit Committee with a statement that we have complied with relevant ethical requirements regarding independence and to communicate with them all relationships and other matters that may reasonably be thought to bear on our independence, and where applicable, related safeguards.From the matters communicated with the Audit Committee, we determine those matters that were of most significance in the audit of the consolidated financial statements of the current period and are therefore the key audit matters. We describe these matters in our auditor™s report unless law or regulation precludes public disclosure about the matter or when, in extremely rare circumstances, we determine that a matter should not be communicated in our report because the adverse consequences of doing so would reasonably be expected to outweigh the public interest benefits of such communication.The engagement partner on the audit resulting in this independent auditor™s report is Ricky Shun.Ernst & YoungCertified Public AccountantsHong Kong20 April 2020",True
PricewaterhouseCoopers,126 - 135,https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0424/2020042401699.pdf,"INDEPENDENT AUDITOR’S REPORTLandsea Green Properties Co., Ltd.  Annual Report 2019134From the matters communicated with the Audit Committee, we determine those matters that were of most significance in the audit of the consolidated financial statements of the current period and are therefore the key audit matters. We describe these matters in our auditor’s report unless law or regulation precludes public disclosure about the matter or when, in extremely rare circumstances, we determine that a matter should not be communicated in our report because the adverse consequences of doing so would reasonably be expected to outweigh the public interest benefits of such communication.The engagement partner on the audit resulting in this independent auditor’s report is Esmond S. C. Kwan.PricewaterhouseCoopersCertified Public AccountantsHong Kong, 27 March 2020",True
Deloitte Touche Tohmatsu,111 - 115,https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0424/2020042401677.pdf,"115  Independent Auditor™s ReportAUDITOR™S RESPONSIBILITIES FOR THE AUDIT OF THE CONSOLIDATED FINANCIAL STATEMENTS (continued)Ł Evaluate the overall presentation, structure and content of the consolidated financial statements, including the disclosures, and whether the consolidated financial statements represent the underlying transactions and events in a manner that achieves fair presentation.Ł Obtain sufficient appropriate audit evidence regarding the financial information of the entities or business activities within the Group to express an opinion on the consolidated financial statements. We are responsible for the direction, supervision and performance of the group audit. We remain solely responsible for our audit opinion.We communicate with those charged with governance regarding, among other matters, the planned scope and timing of the audit and significant audit findings, including any significant deficiencies in internal control that we identify during our audit.We also provide those charged with governance with a statement that we have complied with relevant ethical requirements regarding independence, and to communicate with them all relationships and other matters that may reasonably be thought to bear on our independence, and where applicable, related safeguards.From the matters communicated with those charged with governance, we determine those matters that were of most significance in the audit of the consolidated financial statements of the current period and are therefore the key audit matters. We describe these matters in our auditor™s report unless law or regulation precludes public disclosure about the matter or when, in extremely rare circumstances, we determine that a matter should not be communicated in our report because the adverse consequences of doing so would reasonably be expected to outweigh the public interest benefits of such communication.The engagement partner on the audit resulting in the independent auditor™s report is Joseph Wing Ming Chan.Deloitte Touche Tohmatsu Certified Public Accountants Hong KongMarch 27, 2020",True
DELOITTE TOUCHE TOHMATSU,98 - 105,https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0424/2020042401665.pdf,"1052019INDEPENDENT AUDITOR’S REPORT (CONTINUED)AUDITOR’S RESPONSIBILITIES FOR THE AUDIT OF THE CONSOLIDATED FINANCIAL STATEMENTS (CONTINUED)From the matters communicated with those charged with governance, we determine those matters that were of most significance in the audit of the consolidated financial statements of the current period and are therefore the key audit matters. We describe these matters in our auditor’s report unless law or regulation precludes public disclosure about the matter or when, in extremely rare circumstances, we determine that a matter should not be communicated in our report because the adverse consequences of doing so would reasonably be expected to outweigh the public interest benefits of such communication.The engagement partner on the audit resulting in the independent auditor’s report is Keung To Wai, David.DELOITTE TOUCHE TOHMATSUCertified Public AccountantsHong Kong, 6th April, 2020•",True
Ernst & Young,66 - 73,https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0424/2020042401649.pdf,"EMBRY HOLDINGS LIMITED  / ANNUAL REPORT 2019 72   Independent Auditor™s Report (Continued)Auditor™s responsibilities for the audit of the consolidated financial statements (continued)We communicate with the Audit Committee regarding, among other matters, the planned scope and timing of the audit and significant audit findings, including any significant deficiencies in internal control that we identify during our audit.We also provide the Audit Committee with a statement that we have complied with relevant ethical requirements regarding independence and to communicate with them all relationships and other matters that may reasonably be thought to bear on our independence, and where applicable, related safeguards.From the matters communicated with the Audit Committee, we determine those matters that were of most significance in the audit of the consolidated financial statements of the current period and are therefore the key audit matters. We describe these matters in our auditor™s report unless law or regulation precludes public disclosure about the matter or when, in extremely rare circumstances, we determine that a matter should not be communicated in our report because the adverse consequences of doing so would reasonably be expected to outweigh the public interest benefits of such communication.The engagement partner on the audit resulting in this independent auditor™s report is Chung Yuk Man.Ernst & YoungCertified Public Accountants22/F CITIC Tower1 Tim Mei AvenueCentral, Hong Kong31 March 2020122",True
PricewaterhouseCoopers,55 - 63,https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0424/2020042401646.pdf,"63To the Shareholders of China Oil And Gas Group Limited (continued)(incorporated in Bermuda with limited liability) We also provide the Audit Committee with a statement that we have complied with relevant ethical requirements regarding independence, and to communicate with them all relationships and other matters that may reasonably be thought to bear on our independence, and where applicable, related safeguards.From the matters communicated with the Audit Committee, we determine those matters that were of most significance in the audit of the consolidated financial statements of the current period and are therefore the key audit matters. We describe these matters in our auditor™s report unless law or regulation precludes public disclosure about the matter or when, in extremely rare circumstances, we determine that a matter should not be communicated in our report because the adverse consequences of doing so would reasonably be expected to outweigh the public interest benefits of such communication.The engagement partner on the audit resulting in this independent auditor™s report is Chung Kit Yi, Kitty.PricewaterhouseCoopersCertified Public AccountantsHong Kong, 27 March 2020",True
KPMG,71 - 76,https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0424/2020042401640.pdf,"76AUDITOR™S RESPONSIBILITY FOR THE AUDIT OF THE CONSOLIDATED FINANCIAL STATEMENTS (continued)We communicate with the Audit Committee regarding, among other matters, the planned scope and timing of the audit and significant audit findings, including any significant deficiencies in internal control that we identify during our audit.We also provide the Audit Committee with a statement that we have complied with relevant ethical requirements regarding independence and communicate with them all relationships and other matters that may reasonably be thought to bear on our independence and, where applicable, related safeguards.From the matters communicated with the Audit Committee, we determine those matters that were of most significance in the audit of the consolidated financial statements of the current period and are therefore the key audit matters. We describe these matters in our auditor™s report unless law or regulation precludes public disclosure about the matter or when, in extremely rare circumstances, we determine that a matter should not be communicated in our report because the adverse consequences of doing so would reasonably be expected to outweigh the public interest benefits of such communication.The engagement partner on the audit resulting in this independent auditor™s report is Lee Ka Nang.KPMGCertified Public Accountants8th Floor, Prince™s Building10 Chater RoadCentral, Hong Kong31 March 2020",True
KPMG,72 - 77,https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0424/2020042401634.pdf,"Baguio Green Group LimitedAnnual Report 201977INDEPENDENT AUDITOR™S REPORTrelated disclosures made by the directors.audit evidence obtained, whether a material uncertainty exists related to events or conditions that may cast significant doubt on the Group™s ability to continue as a going concern. If we conclude that a material uncertainty exists, we are required to draw attention in our auditor™s report to the related disclosures in the consolidated financial statements or, if such disclosures are inadequate, to modify our opinion. Our conclusions are based on the audit evidence obtained up to the date of our auditor™s report. However, future events or conditions may cause the Group to cease to continue as a going concern.disclosures, and whether the consolidated financial statements represent the underlying transactions and events in a manner that achieves fair presentation.within the Group to express an opinion on the consolidated financial statements. We are responsible for the direction, supervision and performance of the group audit. We remain solely responsible for our audit opinion.We communicate with the Audit Committee regarding, among other matters, the planned scope and timing of the audit and significant audit findings, including any significant deficiencies in internal control that we identify during our audit.We also provide the Audit Committee with a statement that we have complied with relevant ethical requirements regarding independence and communicate with them all relationships and other matters that may reasonably be thought to bear on our independence and, where applicable, related safeguards.From the matters communicated with the Audit Committee, we determine those matters that were of most significance in the audit of the consolidated financial statements of the current period and are therefore the key audit matters. We describe these matters in our auditor™s report unless law or regulation precludes public disclosure about the matter or when, in extremely rare circumstances, we determine that a matter should not be communicated in our report because the adverse consequences of doing so would reasonably be expected to outweigh the public interest benefits of such communication.The engagement partner on the audit resulting in this independent auditor™s report is Yip Ka Ming, Alice.KPMGCertified Public Accountants8th Floor, Prince™s Building10 Chater RoadCentral, Hong Kong30 March 2020",True
KPMG,146 - 156,https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0424/2020042401583.pdf,"155Auditor™s responsibilities for the audit of the consolidated ˜nancial statements (continued)Ł Obtain an understanding of internal control relevant to the audit in order to design audit procedures that are appropriate in the circumstances, but not for the purpose of expressing an opinion on the effectiveness of the Group™s internal control.Ł Evaluate the appropriateness of accounting policies used and the reasonableness of accounting estimates and related disclosures made by the Directors.Ł Conclude on the appropriateness of the Directors™ use of the going concern basis of accounting and, based on the audit evidence obtained, whether a material uncertainty exists related to events or conditions that may cast signi˜cant doubt on the Group™s ability to continue as a going concern. If we conclude that a material uncertainty exists, we are required to draw attention in our auditor™s report to the related disclosures in the consolidated ˜nancial statements or, if such disclosures are inadequate, to modify our opinion. Our conclusions are based on the audit evidence obtained up to the date of our auditor™s report. However, future events or conditions may cause the Group to cease to continue as a going concern.Ł Evaluate the overall presentation, structure and content of the consolidated ˜nancial statements, including the disclosures, and whether the consolidated ˜nancial statements represent the underlying transactions and events in a manner that achieves fair presentation.Ł Obtain suf˜cient appropriate audit evidence regarding the ˜nancial information of the entities or business activities within the Group to express an opinion on the consolidated ˜nancial statements. We are responsible for the direction, supervision and performance of the Group audit. We remain solely responsible for our audit opinion.We communicate with the Audit Committee regarding, among other matters, the planned scope and timing of the audit and signi˜cant audit ˜ndings, including any signi˜cant de˜ciencies in internal control that we identify during our audit.We also provide the Audit Committee with a statement that we have complied with relevant ethical requirements regarding independence and communicate with them all relationships and other matters that may reasonably be thought to bear on our independence and, where applicable, related safeguards.From the matters communicated with the Audit Committee, we determine those matters that were of most signi˜cance in the audit of the consolidated ˜nancial statements of the current period and are therefore the key audit matters. We describe these matters in our auditor™s report unless law or regulation precludes public disclosure about the matter or when, in extremely rare circumstances, we determine that a matter should not be communicated in our report because the adverse consequences of doing so would reasonably be expected to outweigh the public interest bene˜ts of such communication.The engagement partner on the audit resulting in this independent auditor™s report is Wong Yuen Shan.KPMGCerti˜ed Public Accountants8th Floor, Prince™s Building10 Chater RoadCentral, Hong Kong27 March 2020",True
Mazars CPA Limited,52 - 57,https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0424/2020042401527.pdf,"57AUDITOR™S RESPONSIBILITIES FOR THE AUDIT OF THE CONSOLIDATED FINANCIAL STATEMENTS (Continued)Ł Obtain sufficient appropriate audit evidence regarding the financial information of the entities or business activities within the Group to express an opinion on the consolidated financial statements. We are responsible for the direction, supervision and performance of the group audit. We remain solely responsible for our audit opinion.We communicate with those charged with governance regarding, among other matters, the planned scope and timing of the audit and significant audit findings, including any significant deficiencies in internal control that we identify during our audit.We also provide those charged with governance with a statement that we have complied with relevant ethical requirements regarding independence, and to communicate with them all relationships and other matters that may reasonably be thought to bear on our independence, and where applicable, related safeguards.From the matters communicated with those charged with governance, we determine those matters that were of most significance in the audit of the consolidated financial statements of the current period and are therefore the key audit matters. We describe these matters in our auditor™s report unless law and regulation precludes public disclosure about the matter or when, in extremely rare circumstances, we determine that a matter should not be communicated in our report because the adverse consequences of doing so would reasonably be expected to outweigh the public interest benefits of such communication.Mazars CPA LimitedCertified Public AccountantsHong Kong, 23 March 2020The engagement director on the audit resulting in this independent auditor™s report is:Chan Wai ManPractising Certificate Number: P02487",True
PricewaterhouseCoopers,96 - 101,https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0424/2020042401497.pdf,"100We communicate with Audit Committee regarding, among other matters, the planned scope and timing of the audit and significant audit findings, including any significant deficiencies in internal control that we identify during our audit.We also provide Audit Committee with a statement that we have complied with relevant ethical requirements regarding independence, and to communicate with them all relationships and other matters that may reasonably be thought to bear on our independence, and where applicable, related safeguards.From the matters communicated with Audit Committee, we determine those matters that were of most significance in the audit of the consolidated financial statements of the current period and are therefore the key audit matters. We describe these matters in our auditor™s report unless law or regulation precludes public disclosure about the matter or when, in extremely rare circumstances, we determine that a matter should not be communicated in our report because the adverse consequences of doing so would reasonably be expected to outweigh the public interest benefits of such communication.The engagement partner on the audit resulting in this independent auditor™s report is Shin Wai Kit, Ricky.PricewaterhouseCoopersCertified Public AccountantsHong Kong, 17 March 2020",True
Certified ,169 - 177,https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0424/2020042401493.pdf,"From the matters communicated with those charged with governance, we determine those matters that were of most significance in the audit of the consolidated financial statements of the current period and are therefore the key audit matters. We describe these matters in our auditor™s report unless law or regulation precludes public disclosure about the matter or when, in extremely rare circumstances, we determine that a matter should not be communicated in our report because the adverse consequences of doing so would reasonably be expected to outweigh the public interest benefits of such communication.Certified Public AccountantsLee Ka Leung, DanielPractising Certificate Number P01220Hong Kong, 30 March 2020P012202020330",True
PricewaterhouseCoopers,54 - 58,https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0424/2020042401460.pdf,"58Ł Conclude on the appropriateness of the directors™ use of the going concern basis of accounting and, based on the audit evidence obtained, whether a material uncertainty exists related to events or conditions that may cast significant doubt on the Group™s ability to continue as a going concern. If we conclude that a material uncertainty exists, we are required to draw attention in our auditor™s report to the related disclosures in the consolidated financial statements or, if such disclosures are inadequate, to modify our opinion. Our conclusions are based on the audit evidence obtained up to the date of our auditor™s report. However, future events or conditions may cause the Group to cease to continue as a going concern.Ł Evaluate the overall presentation, structure and content of the consolidated financial statements, including the disclosures, and whether the consolidated financial statements represent the underlying transactions and events in a manner that achieves fair presentation.Ł Obtain sufficient appropriate audit evidence regarding the financial information of the entities or business activities within the Group to express an opinion on the consolidated financial statements. We are responsible for the direction, supervision and performance of the group audit. We remain solely responsible for our audit opinion.We communicate with those charged with governance regarding, among other matters, the planned scope and timing of the audit and significant audit findings, including any significant deficiencies in internal control that we identify during our audit.We also provide those charged with governance with a statement that we have complied with relevant ethical requirements regarding independence, and to communicate with them all relationships and other matters that may reasonably be thought to bear on our independence, and where applicable, related safeguards.From the matters communicated with those charged with governance, we determine those matters that were of most significance in the audit of the consolidated financial statements of the current period and are therefore the key audit matters. We describe these matters in our auditor™s report unless law or regulation precludes public disclosure about the matter or when, in extremely rare circumstances, we determine that a matter should not be communicated in our report because the adverse consequences of doing so would reasonably be expected to outweigh the public interest benefits of such communication.The engagement partner on the audit resulting in this independent auditor™s report is Mr. Chow Shiu Hay Antonio.PricewaterhouseCoopersCertified Public AccountantsHong Kong, 30 March 2020",True
PricewaterhouseCoopers,56 - 60,https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0424/2020042401456.pdf,"60CHEN LIN EDUCATION GROUP HOLDINGS LIMITED    ANNUAL REPORT 2019Independent Auditor™s ReportAUDITOR™S RESPONSIBILITIES FOR THE AUDIT OF THE CONSOLIDATED FINANCIAL STATEMENTS (continued)We communicate with the audit committee regarding, among other matters, the planned scope and timing of the audit and significant audit findings, including any significant deficiencies in internal control that we identify during our audit.We also provide the audit committee with a statement that we have complied with relevant ethical requirements regarding independence, and to communicate with the audit committee all relationships and other matters that may reasonably be thought to bear on our independence, and where applicable, related safeguards.From the matters communicated with the audit committee, we determine those matters that were of most significance in the audit of the consolidated financial statements of the current period and are therefore the key audit matters. We describe these matters in our auditor™s report unless law or regulation precludes public disclosure about the matter or when, in extremely rare circumstances, we determine that a matter should not be communicated in our report because the adverse consequences of doing so would reasonably be expected to outweigh the public interest benefits of such communication.The engagement partner on the audit resulting in this independent auditor™s report is Dou Wang, Angel.PricewaterhouseCoopersCertified Public AccountantsHong Kong, 30 March 2020",True
PricewaterhouseCoopers,48 - 52,https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0424/2020042401450.pdf,"52HUAXI HOLDINGS COMPANY LIMITEDINDEPENDENT AUDITOR™S REPORTdisclosures, and whether the consolidated financial statements represent the underlying transactions and events in a manner that achieves fair presentation.activities within the Group to express an opinion on the consolidated financial statements. We are responsible for the direction, supervision and performance of the group audit. We remain solely responsible for our audit opinion.We communicate with the Audit Committee regarding, among other matters, the planned scope and timing of the audit and significant audit findings, including any significant deficiencies in internal control that we identify during our audit.We also provide the Audit Committee with a statement that we have complied with relevant ethical requirements regarding independence, and to communicate with them all relationships and other matters that may reasonably be thought to bear on our independence, and where applicable, related safeguards.From the matters communicated with the Audit Committee, we determine those matters that were of most significance in the audit of the consolidated financial statements of the current period and are therefore the key audit matters. We describe these matters in our auditor™s report unless law or regulation precludes public disclosure about the matter or when, in extremely rare circumstances, we determine that a matter should not be communicated in our report because the adverse consequences of doing so would reasonably be expected to outweigh the public interest benefits of such communication.The engagement partner on the audit resulting in this independent auditor™s report is Ho Chiu Yin, Ivan.PricewaterhouseCoopersCertified Public AccountantsHong Kong, 27 March 2020",True
Deloitte Touche Tohmatsu,85 - 91,https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0424/2020042401432.pdf,"China VAST Industrial Urban Development Company LimitedIndependent Auditor’s Report90Auditor’s Responsibilities for the Audit of the Consolidated Financial Statements (Continued)From the matters communicated with those charged with governance, we determine those matters that were of most significance in the audit of the consolidated financial statements of the current period and are therefore the key audit matters. We describe these matters in our auditor’s report unless law or regulation precludes public disclosure about the matter or when, in extremely rare circumstances, we determine that a matter should not be communicated in our report because the adverse consequences of doing so would reasonably be expected to outweigh the public interest benefits of such communication.The engagement partner on the audit resulting in the independent auditor’s report is Lam, Kam Chiu.Deloitte Touche TohmatsuCertified Public AccountantsHong Kong27 March 2020•2020327",True
Certified ,39 - 43,https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0424/2020042401420.pdf,"43AUDITOR™S RESPONSIBILITIES FOR THE AUDIT OF THE CONSOLIDATED FINANCIAL STATEMENTS (Continued)Ł Evaluate the appropriateness of accounting policies used and the reasonableness of accounting estimates and related disclosures made by the directors.Ł Conclude on the appropriateness of the directors™ use of the going concern basis of accounting and, based on the audit evidence obtained, whether a material uncertainty exists related to events or conditions that may cast significant doubt on the Group™s ability to continue as a going concern. If we conclude that a material uncertainty exists, we are required to draw attention in our auditor™s report to the related disclosures in the consolidated financial statements or, if such disclosures are inadequate, to modify our opinion. Our conclusions are based on the audit evidence obtained up to the date of our auditor™s report. However, future events or conditions may cause the Group to cease to continue as a going concern.Ł Evaluate the overall presentation, structure and content of the consolidated financial statements, including the disclosures, and whether the consolidated financial statements represent the underlying transactions and events in a manner that achieves fair presentation.Ł Obtain sufficient appropriate audit evidence regarding the financial information of the entities or business activities within the Group to express an opinion on the consolidated financial statements. We are responsible for the direction, supervision and performance of the group audit. We remain solely responsible for our audit opinion.We communicate with the Audit Committee regarding, among other matters, the planned scope and timing of the audit and significant audit findings, including any significant deficiencies in internal control that we identify during our audit.We also provide the Audit Committee with a statement that we have complied with relevant ethical requirements regarding independence and to communicate with them all relationships and other matters that may reasonably be thought to bear on our independence, and where applicable, related safeguards.From the matters communicated with the Audit Committee, we determine those matters that were of most significance in the audit of the consolidated financial statements of the current period and are therefore the key audit matters. We describe these matters in our auditor™s report unless law or regulation precludes public disclosure about the matter or when, in extremely rare circumstances, we determine that a matter should not be communicated in our report because the adverse consequences of doing so would reasonably be expected to outweigh the public interest benefits of such communication.The engagement partner on the audit resulting in this independent auditor™s report is Cheong Ming Yik.Certified Public AccountantsHong Kong20 March 2020",True
HLB Hodgson Impey Cheng Limited,59 - 67,https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0424/2020042401385.pdf,"Independent Auditors™ Report67P06417AUDITORS’ RESPONSIBILITIES FOR THE AUDIT OF THE CONSOLIDATED FINANCIAL STATEMENTS (continued)We also provide the Audit Committee with a statement that we have complied with relevant ethical requirements regarding independence, and to communicate with them all relationships and other matters that may reasonably be thought to bear on our independence, and where applicable, related safeguards.From the matters communicated with the Audit Committee, we determine those matters that were of most significance in the audit of the consolidated financial statements of the current period and are therefore the key audit matters. We describe these matters in our auditors’ report unless law or regulation precludes public disclosure about the matter or when, in extremely rare circumstances, we determine that a matter should not be communicated in our report because the adverse consequences of doing so would reasonably be expected to outweigh the public interest benefits of such communication.The engagement director on the audit resulting in this independent auditors’ report is Ng Ka Wah.HLB Hodgson Impey Cheng LimitedCertified Public AccountantsNg Ka WahPractising Certificate Number: P06417Hong Kong, 9 April 2020",True
Ernst & Young,55 - 59,https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0424/2020042401381.pdf,"ANNUAL REPORT 201959INDEPENDENT AUDITOR’S REPORT (CONTINUED)Auditor’s responsibilities for the audit of the consolidated financial statements (continued)We communicate with the Audit Committee regarding, among other matters, the planned scope and timing of the audit and significant audit findings, including any significant deficiencies in internal control that we identify during our audit.We also provide the Audit Committee with a statement that we have complied with relevant ethical requirements regarding independence and to communicate with them all relationships and other matters that may reasonably be thought to bear on our independence, and where applicable, related safeguards.From the matters communicated with the Audit Committee, we determine those matters that were of most significance in the audit of the consolidated financial statements of the current period and are therefore the key audit matters. We describe these matters in our auditor’s report unless law or regulation precludes public disclosure about the matter or when, in extremely rare circumstances, we determine that a matter should not be communicated in our report because the adverse consequences of doing so would reasonably be expected to outweigh the public interest benefits of such communication.The engagement partner on the audit resulting in this independent auditor’s report is CHENG Man.Ernst & YoungCertified Public AccountantsHong Kong27 March 2020",True
